timestamp,x,y,z
1501624976492693,0.634766,-0.731934,0.243164
1501624976514707,0.636719,-0.746094,0.257813
1501624976530713,0.637695,-0.73877,0.260742
1501624976553757,0.634766,-0.739258,0.255371
1501624976575751,0.638184,-0.743652,0.250977
1501624976590765,0.643066,-0.743652,0.247559
1501624976613775,0.644043,-0.737793,0.246582
1501624976635818,0.638184,-0.750977,0.251953
1501624976674930,0.642578,-0.743652,0.241699
1501624976676926,0.644531,-0.744141,0.237793
1501624976695998,0.645508,-0.745117,0.245605
1501624976711008,0.641602,-0.741211,0.236328
1501624976735024,0.643066,-0.739746,0.253418
1501624976755993,0.63916,-0.740723,0.243164
1501624976793009,0.641602,-0.744141,0.241211
1501624976803073,0.64209,-0.741211,0.24707
1501624976816086,0.644531,-0.737793,0.245605
1501624976831096,0.641113,-0.73877,0.244141
1501624976853110,0.650879,-0.733887,0.245605
1501624976876125,0.647949,-0.740723,0.244629
1501624976891106,0.64502,-0.733887,0.252441
1501624976913153,0.649902,-0.740234,0.239258
1501624976936168,0.647461,-0.741211,0.243164
1501624976951247,0.648926,-0.732422,0.244629
1501624976973236,0.643066,-0.740234,0.248047
1501624976995479,0.649414,-0.736816,0.241699
1501624977010489,0.649414,-0.745117,0.233887
1501624977033506,0.652832,-0.740234,0.240234
1501624977055460,0.646973,-0.740723,0.243652
1501624977070530,0.646484,-0.744629,0.23877
1501624977093547,0.648438,-0.733887,0.242676
1501624977115674,0.649414,-0.737305,0.243652
1501624977130684,0.645996,-0.732422,0.241211
1501624977154675,0.647949,-0.736328,0.243164
1501624977175718,0.648438,-0.733887,0.242676
1501624977190695,0.649902,-0.742188,0.245117
1501624977213715,0.646484,-0.737793,0.237793
1501624977235731,0.648438,-0.738281,0.239746
1501624977250770,0.648438,-0.740723,0.236816
1501624977273725,0.647949,-0.734863,0.248047
1501624977295800,0.650391,-0.743164,0.239746
1501624977310812,0.645508,-0.738281,0.241699
1501624977333799,0.645508,-0.738281,0.238281
1501624977355783,0.648926,-0.736328,0.245605
1501624977370852,0.645996,-0.736816,0.239258
1501624977392977,0.650879,-0.734863,0.246582
1501624977415994,0.650391,-0.73584,0.248047
1501624977430004,0.648438,-0.737305,0.241699
1501624977453020,0.646973,-0.743164,0.23877
1501624977476040,0.648438,-0.736816,0.245117
1501624977489994,0.648438,-0.736816,0.241211
1501624977513064,0.649902,-0.746094,0.245117
1501624977536048,0.650391,-0.735352,0.241211
1501624977550036,0.64502,-0.733398,0.245117
1501624977573055,0.652832,-0.73877,0.242676
1501624977596125,0.648926,-0.731934,0.244141
1501624977610134,0.648926,-0.72998,0.243164
1501624977633150,0.651367,-0.73584,0.245605
1501624977656106,0.648438,-0.730469,0.245117
1501624977670175,0.652344,-0.729492,0.239258
1501624977693193,0.651855,-0.729492,0.245605
1501624977716180,0.652344,-0.737305,0.241211
1501624977730219,0.649414,-0.739746,0.243164
1501624977753345,0.649414,-0.73584,0.24707
1501624977776332,0.646484,-0.736328,0.251953
1501624977791340,0.648926,-0.736328,0.244141
1501624977814365,0.652344,-0.734863,0.249023
1501624977835517,0.648438,-0.72998,0.249512
1501624977851499,0.651367,-0.730469,0.23877
1501624977874490,0.651367,-0.73291,0.242676
1501624977895558,0.651367,-0.736328,0.241211
1501624977918576,0.647949,-0.737305,0.247559
1501624977934556,0.646973,-0.736816,0.240234
1501624977955551,0.652344,-0.734863,0.240723
1501624977978618,0.652344,-0.737793,0.240723
1501624977994600,0.649414,-0.739746,0.246094
1501624978015645,0.650391,-0.739258,0.243652
1501624978038607,0.641602,-0.734375,0.249023
1501624978054621,0.651367,-0.72998,0.235352
1501624978075656,0.653809,-0.730957,0.253906
1501624978098672,0.648926,-0.727051,0.241699
1501624978114660,0.652832,-0.733398,0.23877
1501624978135697,0.649902,-0.732422,0.23877
1501624978158714,0.656738,-0.725586,0.249023
1501624978174703,0.655273,-0.731934,0.236816
1501624978195718,0.652344,-0.730469,0.240723
1501624978218735,0.652832,-0.738281,0.227539
1501624978234739,0.653809,-0.730957,0.248047
1501624978255814,0.648438,-0.739258,0.241699
1501624978277776,0.651367,-0.72998,0.239746
1501624978294788,0.655762,-0.734863,0.240723
1501624978315803,0.652832,-0.73291,0.23291
1501624978337840,0.648926,-0.738281,0.251953
1501624978354827,0.652832,-0.73877,0.242188
1501624978375901,0.653809,-0.730957,0.240234
1501624978397911,0.651855,-0.73291,0.240234
1501624978413898,0.65625,-0.737305,0.246582
1501624978435942,0.651855,-0.739258,0.243652
1501624978457903,0.654785,-0.734863,0.241211
1501624978473907,0.649902,-0.731445,0.241211
