timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1501625562324343,-1,-29,8,-2,7,-5,-7,-7
1501625562324343,-2,-13,0,0,-7,-25,-10,-8
1501625562325302,0,17,-10,-1,-14,-3,6,6
1501625562325302,-8,7,0,1,5,22,8,5
1501625562326290,-1,-14,2,-5,-1,-22,-6,-3
1501625562326290,2,-14,-2,0,4,-7,-3,-4
1501625562327329,-2,13,-8,-4,-29,-42,-4,-3
1501625562327329,-5,8,2,2,26,89,0,2
1501625562339312,-1,-10,7,1,2,-6,6,3
1501625562339312,-2,-8,-1,-3,-4,-25,-1,-5
1501625562346318,-2,9,-2,2,4,14,-2,-3
1501625562346318,-7,3,-5,-7,-19,-38,5,3
1501625562355324,3,-12,8,3,10,7,1,9
1501625562355324,4,-3,0,-1,-3,-4,-7,-7
1501625562367422,6,20,-8,-2,-6,4,4,2
1501625562367422,-9,3,1,-1,-10,-33,0,0
1501625562379412,5,-15,6,1,24,44,-2,-1
1501625562379412,1,-6,-3,-1,-10,-26,1,2
1501625562382469,-6,0,-9,-2,5,24,-5,-5
1501625562382469,-5,-1,1,-3,-8,-17,-2,3
1501625562399425,-2,-5,-1,-6,-10,-20,-12,-9
1501625562399425,2,-4,1,3,6,14,9,4
1501625562406488,0,2,-2,2,3,2,1,2
1501625562406488,0,1,1,-2,-19,-41,-8,-4
1501625562445557,4,-25,13,4,44,78,3,-1
1501625562445557,5,-1,-8,1,-7,-12,-5,-2
1501625562446541,-10,23,-13,-3,-5,8,-2,-4
1501625562446541,-2,-12,2,-1,-5,-11,4,5
1501625562447541,3,-6,7,-1,0,-15,-3,0
1501625562447541,0,-4,-3,-2,-3,-27,-7,-7
1501625562450601,-1,9,-8,3,8,55,2,0
1501625562450601,-5,4,2,-2,2,13,7,6
1501625562457606,4,-18,2,-4,-10,-36,-6,-6
1501625562457606,0,-7,1,0,-7,-18,-9,-8
1501625562464570,6,19,-8,0,-5,4,5,4
1501625562464570,-5,2,1,-3,-1,16,-1,-4
1501625562473588,0,-18,8,0,4,-11,-4,-3
1501625562473588,2,1,-8,-4,-15,-34,1,-2
1501625562487629,-2,9,-7,1,5,22,-2,-1
1501625562487629,-4,-4,-1,-5,-5,1,1,-1
1501625562496576,2,-6,5,1,5,-23,0,-1
1501625562496576,-1,5,-5,0,9,23,-7,-4
1501625562502638,-3,0,-7,-3,-13,-5,-1,0
1501625562502638,3,-3,6,1,3,-1,-1,1
1501625562518608,-4,-13,-3,-5,-9,-23,2,0
1501625562518608,-4,0,-4,-2,-5,0,-1,-2
1501625562524654,-2,3,-1,-5,-7,-6,-8,-3
1501625562524654,-1,1,-1,-3,-2,-14,6,6
1501625562533619,-1,-8,0,1,11,31,7,2
1501625562533619,-5,-7,-4,1,-2,-1,-3,-3
1501625562547670,0,-5,-4,-1,-11,-1,4,6
1501625562547670,-7,6,1,-1,8,-15,-12,-9
1501625562556741,-5,-7,-1,-5,-11,-25,-8,-6
1501625562556741,7,3,3,6,14,26,8,3
1501625562562716,-8,1,-4,0,-11,-15,0,-1
1501625562562716,-3,-2,0,-2,-2,-7,4,1
1501625562578717,-2,-5,-1,-2,4,9,-5,-3
1501625562578717,4,3,-1,0,2,7,1,2
1501625562584779,-1,8,1,0,-4,-16,0,-1
1501625562584779,3,-2,3,1,7,16,-2,2
1501625562593743,-4,-2,3,-1,-8,-30,-3,-2
1501625562593743,1,1,-3,1,3,37,4,1
1501625562607793,-8,0,-2,-3,-12,-27,1,-4
1501625562607793,2,-4,-3,-4,-3,4,0,4
1501625562616744,3,-4,3,4,21,20,3,-1
1501625562616744,-7,2,-1,-2,-6,9,1,-5
1501625562622806,-1,1,-2,-1,2,10,0,1
1501625562622806,-3,-3,-1,-2,-7,-10,-4,-7
1501625562638759,-5,-4,-1,-3,-17,-43,-9,-5
1501625562638759,0,4,-3,-3,-7,-29,3,2
1501625562644778,0,5,1,5,24,49,5,2
1501625562644778,-2,-4,-1,-2,-7,-3,-4,-4
1501625562653771,1,1,1,1,-4,-10,-6,-5
1501625562653771,-3,0,-3,-1,0,-2,1,-1
1501625562667795,3,6,-2,-3,-11,-20,-2,2
1501625562667795,2,2,3,2,12,26,2,1
1501625562676801,-3,-5,-1,0,4,11,-1,-2
1501625562676801,-3,-1,-3,-2,-7,-9,0,1
1501625562682847,1,3,0,1,-3,-10,0,0
1501625562682847,-6,-9,0,2,4,12,-5,-2
1501625562698802,5,3,-2,-1,-6,-9,-4,-1
1501625562698802,1,0,-1,1,-1,-6,4,4
1501625562704861,2,4,-1,1,-3,-3,3,-1
1501625562704861,0,-2,-2,-3,-1,2,-6,-5
1501625562713813,-1,-5,-2,-2,2,15,0,0
1501625562713813,-2,-1,-1,0,5,22,7,2
1501625562728826,-2,2,0,-2,-7,-15,-10,-3
1501625562728826,6,-4,-2,-1,-2,15,2,3
1501625562736866,2,-2,0,-4,-9,-28,-3,-3
1501625562736866,5,6,-1,1,2,8,-4,3
1501625562749893,-1,-1,-3,-4,-1,14,1,0
1501625562749893,3,2,1,-1,-6,-21,0,0
1501625562758848,-4,-2,0,3,6,6,2,0
1501625562758848,-4,2,-2,-2,-3,-2,-5,-6
1501625562764908,-2,-1,-1,-1,-3,-8,0,-1
1501625562764908,1,3,5,4,1,-22,-1,-1
1501625562773855,-4,-5,-3,-1,12,26,-2,-2
1501625562773855,2,2,1,-1,-6,-4,-2,-1
1501625562787892,1,1,-2,-1,5,1,-1,2
1501625562787892,-2,-4,-2,-2,-2,-11,1,-5
1501625562795890,1,-1,1,0,-8,-28,3,5
1501625562795890,-2,1,-2,-2,1,27,0,-2
1501625562809938,-1,-4,-1,-2,-3,3,-1,-2
1501625562809938,-3,-4,-3,-1,3,-1,-5,1
1501625562818889,-3,-2,1,4,20,39,1,-5
1501625562818889,0,0,-4,-4,-9,-21,-5,-1
1501625562824914,-1,4,-1,0,3,16,2,-1
1501625562824914,0,-5,2,1,-5,-23,-5,-2
1501625562833898,6,2,-2,-1,-2,-3,4,2
1501625562833898,-3,0,-1,0,0,-4,-10,-4
1501625562846921,-1,-5,-1,-1,3,19,5,2
1501625562846921,-6,1,-3,-1,-4,-14,2,-1
1501625562855928,-5,-6,-2,-3,-5,-11,-7,-6
1501625562855928,2,5,-1,0,-1,-7,4,3
1501625562869937,3,-1,0,0,6,19,0,-3
1501625562869937,2,-9,-2,-1,-6,-10,-2,-2
1501625562878945,1,1,2,0,2,3,3,0
1501625562878945,-4,2,-5,-1,10,26,5,-1
1501625562884990,-2,0,0,-1,-9,-8,-6,-1
1501625562884990,0,-7,0,-1,-2,-4,0,-2
1501625562893940,0,-3,-1,-3,-9,-14,-4,0
1501625562893940,-3,1,-3,-2,-5,-11,-2,-4
1501625562907007,1,4,-1,-1,-8,-35,-6,0
1501625562907007,-3,-2,0,0,17,48,3,1
1501625562916015,8,2,-2,2,6,16,4,6
1501625562916015,-7,-4,-1,0,-11,-19,-3,-4
1501625562929992,-2,0,1,-3,7,10,-9,-4
1501625562929992,1,-3,1,-1,-6,-16,0,-2
1501625562939072,-1,0,-3,-3,-9,-11,-2,-4
1501625562939072,-3,-4,-2,-3,-1,-12,8,8
1501625562945076,-2,0,-2,1,0,14,2,0
1501625562945076,-1,-5,3,1,6,12,-4,-1
1501625562954084,5,1,0,-2,-7,-11,-2,3
1501625562954084,2,3,-1,-1,-3,2,0,0
1501625562967134,-2,0,-2,-2,-9,-20,-2,-3
1501625562967134,1,-3,0,0,4,11,8,6
1501625562976099,-2,-3,-3,0,-4,-8,-3,-4
1501625562976099,-1,2,-1,0,-2,-2,-1,0
1501625562990151,1,1,0,-2,-6,-9,0,0
1501625562990151,-2,-2,0,0,-2,-10,-2,-3
1501625562999100,0,1,0,1,6,27,-1,1
1501625562999100,-2,1,-2,-3,-1,3,-4,-4
1501625563005163,-2,-2,0,1,5,13,6,2
1501625563005163,2,0,-1,-2,-8,-16,-6,-2
1501625563020258,-3,-8,-4,-4,-10,-28,-2,-3
1501625563020258,1,1,1,-1,8,20,-5,-5
1501625563027261,2,3,2,-1,3,12,2,2
1501625563027261,5,-1,-1,-1,-10,-28,7,6
1501625563036226,-2,-1,-1,0,3,9,-5,-3
1501625563036226,0,4,0,3,-3,-2,-1,-2
1501625563050306,-2,-2,-1,1,6,1,2,0
1501625563050306,-1,-2,1,-4,5,25,-2,-2
1501625563059363,5,9,2,2,-11,-28,-6,-1
1501625563059363,3,4,0,-1,5,15,3,5
1501625563065320,-4,-6,-2,1,-2,-16,-2,0
1501625563065320,0,-1,-1,0,-4,-13,-3,-3
1501625563080325,-2,-1,0,1,12,27,5,2
1501625563080325,-3,-1,-2,-3,-6,-8,2,-1
1501625563087438,0,3,2,-1,-5,4,-1,-2
1501625563087438,-1,-7,-2,2,1,1,-10,-6
1501625563096471,-1,0,-3,-3,-7,-31,1,-2
1501625563096471,3,1,0,1,8,27,-1,2
1501625563109572,-2,-5,1,0,7,14,2,1
1501625563109572,-4,-1,0,-3,-3,-6,-2,-2
1501625563118577,2,4,-1,-1,-6,-17,0,-1
1501625563118577,1,3,1,1,-6,-17,-1,1
1501625563124582,-4,-4,1,0,1,-2,-6,-3
1501625563124582,3,4,-1,-2,-4,-8,-1,0
1501625563139593,-4,-10,-4,-2,10,34,3,-3
1501625563139593,-2,3,-1,-1,-5,-12,1,1
1501625563147598,-2,0,3,1,-4,-6,1,2
1501625563147598,10,5,1,1,0,7,0,1
1501625563156549,-6,-5,-3,-1,-5,-8,-2,-1
1501625563156549,-2,-5,-1,-1,-2,-3,-6,-4
1501625563169617,-1,3,-1,-5,-17,-12,-5,-1
1501625563169617,-4,-6,-2,-1,10,17,3,-2
1501625563178569,1,-1,-2,0,-7,-5,-3,-1
1501625563178569,-1,0,-3,-1,0,6,-1,-1
1501625563184627,0,0,-4,-2,-10,-30,-1,-3
1501625563184627,-4,-12,-3,-1,8,18,-2,-5
1501625563199638,7,8,-1,1,-7,-5,3,6
1501625563199638,-9,-1,-1,-2,1,1,-9,-9
1501625563207643,2,1,2,-1,-1,-2,6,5
1501625563207643,-5,-9,-4,0,10,6,-2,-2
1501625563216689,-4,-4,-7,-5,-3,-5,2,0
1501625563216689,2,-1,-2,1,3,8,5,2
1501625563229693,-2,1,2,-2,-1,3,-5,-3
1501625563229693,0,-1,-1,-1,-4,-22,-1,-1
1501625563238694,-4,1,-3,-3,-5,-2,-4,-4
1501625563238694,-3,4,1,1,7,14,1,-3
1501625563244750,-1,-7,0,0,6,28,2,0
1501625563244750,-4,-4,0,-3,-7,-27,-7,-3
1501625563259761,-1,5,-4,-1,-9,-11,2,0
1501625563259761,-2,2,-1,-3,0,-3,-4,-2
1501625563267768,2,-5,2,2,3,-10,-2,-2
1501625563267768,-3,4,-1,-2,-2,5,-1,-4
1501625563276854,2,0,-1,0,-5,-16,0,-1
1501625563276854,-3,-2,-1,-1,1,11,1,0
1501625563289864,-11,-6,2,2,4,6,-2,-3
1501625563289864,4,-1,-1,-2,-3,-8,7,5
1501625563298818,1,1,-1,-1,-2,-3,-3,-3
1501625563298818,-3,2,-1,0,-6,-15,1,2
1501625563304876,-1,-6,-4,-2,10,22,-5,-5
1501625563304876,1,4,1,-1,-10,-8,-2,-1
1501625563319885,0,-2,-1,3,12,11,-1,-2
1501625563319885,0,-1,1,-2,-11,-19,-2,2
1501625563327866,1,0,1,-1,0,-7,-2,1
1501625563327866,-5,-3,-2,-1,1,5,-1,-4
1501625563336894,-4,-3,-5,-3,-9,-10,1,-3
1501625563336894,-3,-3,-1,-1,7,20,1,0
1501625563349910,0,-3,-1,-2,0,-5,-1,-1
1501625563349910,-5,-7,-1,0,-5,-14,-3,-3
1501625563358870,-2,6,-2,0,6,21,3,2
1501625563358870,-8,-2,-3,-2,-4,-5,-2,-4
1501625563364877,5,-1,2,-2,2,13,-3,-3
1501625563364877,0,-1,0,5,11,15,8,6
1501625563379887,0,0,-2,0,-7,-5,-1,-2
1501625563379887,-2,0,0,-1,-6,-6,-4,-2
1501625563386892,-3,-4,1,-2,-1,-12,2,2
1501625563386892,1,-1,1,0,-1,-8,-6,-3
1501625563395887,-5,-2,-4,-3,-3,3,-5,-3
1501625563395887,5,2,1,1,3,1,4,1
1501625563409894,-1,-2,1,-1,-1,-7,-1,-1
1501625563409894,1,-1,-3,-3,-2,5,0,1
1501625563418902,2,2,-1,1,-1,-9,-4,-1
1501625563418902,0,2,-2,-1,-3,5,-3,-3
