timestamp,x,y,z
1501622283866811,0.5625,0.5625,-0.5
1501622283889827,0.5,-1,-0.375
1501622283912864,-0.1875,-1.375,-1
1501622283934859,0.25,-1.4375,-0.9375
1501622283949875,0.0625,-1.125,-1.375
1501622283973887,-0.625,-0.125,-1.25
1501622283994930,0.3125,1,-0.8125
1501622284009940,-1,2.0625,-0.4375
1501622284033935,-1.3125,2.5,0.1875
1501622284063951,-0.5,2.25,0.875
1501622284073959,-0.0625,2.375,0.6875
1501622284093972,0.75,2.75,1.25
1501622284115988,-1.3125,2.75,0.5
1501622284130998,-0.75,2.375,0.6875
1501622284153013,-0.125,1.4375,0.875
1501622284183036,-0.8125,0.125,0.375
1501622284193042,-1.1875,-1,-0.4375
1501622284213056,0.125,-1.1875,-0.625
1501622284235100,1.25,-1.3125,0
1501622284250082,0.375,-0.9375,0.25
1501622284273127,-0.6875,0,-0.25
1501622284295142,-0.375,0.4375,-1.1875
1501622284310130,-0.5,1.0625,-0.375
1501622284333147,-1.375,1.625,0.5625
1501622284355184,-0.8125,1.9375,0.5
1501622284370195,-0.3125,1.375,0.25
1501622284393183,-0.9375,0.875,0.125
1501622284415199,-0.5625,0.5625,-0.125
1501622284430209,0.3125,0.75,-0.125
1501622284453225,0.1875,1.5,0.125
1501622284475241,-0.625,1.375,-0.25
1501622284490281,-1.0625,0.9375,-0.5625
1501622284513298,-0.5,0.4375,-0.5
1501622284535312,0.1875,-0.375,-0.625
1501622284550314,-0.0625,-0.25,-1.375
1501622284572876,-0.0625,0.0625,-1.125
1501622284594988,-0.125,0.375,-0.8125
1501622284609971,-0.75,0.375,-0.6875
1501622284633987,-0.1875,0.5,-0.5
1501622284655001,0.9375,0.5625,0.25
1501622284670041,0.3125,0.625,0.1875
1501622284693028,-0.375,0.8125,-0.4375
1501622284715050,0.125,0.75,-0.5625
1501622284730061,0.3125,0.3125,-0.5625
1501622284753077,0,0.8125,-0.4375
1501622284775093,-0.125,1.125,-0.625
1501622284790127,-0.3125,0.8125,-1
1501622284813115,-0.8125,1,-1
1501622284835135,-0.1875,1.125,-0.3125
1501622284850145,0.25,1.125,0.125
1501622284873163,-0.125,0.8125,0
1501622284895200,0,0.8125,0.1875
1501622284910183,-0.6875,0.9375,0.3125
1501622284933227,-0.6875,0.6875,0.1875
1501622284955243,-0.125,0.3125,0.4375
1501622284970233,-0.0625,0.4375,0.625
1501622284993269,-0.375,0.375,0
1501622285015260,-0.75,0.6875,-0.25
1501622285031268,-0.875,0.625,0.125
1501622285053313,0.0625,0.75,-0.1875
1501622285075329,-0.3125,0.9375,0.3125
1501622285089309,-0.5,0.625,0.5625
1501622285113349,-0.75,0.5625,0.5625
1501622285135370,-0.625,0.25,0.5
1501622285149379,0.5,0.125,0.125
1501622285172396,-0.5,0.5,0.5
1501622285195412,-0.8125,0.9375,0.625
1501622285217428,-0.375,0.875,0.375
1501622285232439,-0.125,0.3125,0.0625
1501622285263432,0,0.625,-0.0625
1501622285277470,-0.4375,0.5,-0.125
1501622285292482,-0.5625,0.0625,-0.1875
1501622285314476,-0.25,0.0625,-0.0625
1501622285337492,0.3125,0,-0.5
1501622285352496,0.0625,-0.0625,-0.1875
1501622285374511,0,-0.125,-0.25
1501622285397556,-0.5,-0.125,-0.5
1501622285412566,-0.875,0,-0.9375
1501622285434560,-0.375,0.25,-0.8125
1501622285457576,-0.25,-0.0625,-0.8125
1501622285472587,0.375,0,-0.6875
1501622285494596,-0.1875,0,-0.1875
1501622285517612,-0.75,0.125,-0.5
1501622285532624,-1,0.6875,-0.4375
1501622285554639,0.125,0.3125,-0.5
1501622285577662,0.0625,0.375,-0.6875
1501622285592666,-0.25,0.0625,0
1501622285614682,0,-0.375,-0.6875
1501622285637698,0.5,-0.375,-0.8125
1501622285652708,0.3125,-0.6875,-0.8125
1501622285674731,-0.1875,-0.0625,-0.75
1501622285697747,0.0625,-0.4375,-0.375
1501622285712751,0.1875,0.0625,-0.625
1501622285734794,0.3125,0.125,0.25
1501622285757782,0.1875,0.5,0.125
1501622285771791,-0.875,0.1875,-0.1875
1501622285794809,-0.3125,0.125,0.1875
1501622285817826,-0.1875,0.4375,0.75
1501622285831834,-0.25,0.1875,1.0625
1501622285854851,0,-0.0625,0.3125
1501622285877895,0.1875,-0.1875,0.5
1501622285891877,-0.75,-0.125,0.125
1501622285914892,-0.9375,0.125,0.1875
1501622285938938,0.6875,0.1875,0.375
1501622285951919,1.1875,0.3125,-0.125
1501622285974964,-1.1875,0.4375,0.125
1501622285997959,-1.125,0.1875,-0.625
1501622286019996,-0.1875,0.0625,-0.5625
1501622286034983,0.625,-0.375,0.1875
1501622286058023,0.4375,0.25,0.375
1501622286072033,0.25,0.25,0.3125
1501622286095048,0.5,-0.125,0.375
1501622286118065,0.9375,-0.375,0.5
1501622286132079,0.5,-0.3125,0.25
1501622286155063,-0.1875,0.5,0.5
1501622286178081,-0.3125,0.5625,1.0625
1501622286192089,0.5,0.5625,0.8125
1501622286215105,0.4375,0.3125,0.5
1501622286237121,0.25,0.4375,0.25
1501622286252131,-0.25,0.6875,0
1501622286275177,-0.0625,0.9375,-0.1875
1501622286297164,0.625,1.25,0
1501622286312183,-0.4375,1.0625,0.625
1501622286335190,-0.875,0.5,0.5
1501622286357207,0.125,-0.0625,0.1875
1501622286372217,0.4375,-0.5625,0.0625
1501622286395232,0.625,-0.6875,-0.375
1501622286417249,0.0625,-0.8125,-0.1875
1501622286440265,0.125,-0.5,0
1501622286454274,0.875,-0.4375,0.4375
1501622286477291,0.5,-0.3125,0.0625
1501622286500307,0,0.0625,0.75
1501622286515319,-0.5625,0.375,0.875
1501622286537341,-0.6875,0.25,0.25
1501622286560351,0.1875,0.1875,0.375
1501622286574367,0.4375,-0.1875,0.25
